ID;KPI Name;Weight;Category;
1;Выставить более 25% менеджмента на всех проектах;3;quality;
2;Выставить более 85% тестирования на всех проектах;3;quality;
3;Выставить более 95% разработки на проекте;1;quality;
4;Достигнуть рентабельности проекта более 67% за месяц;1;quality;
5;Взять отзыв с заказчика по нашей форме;1;quality;
6;Апсейл на текущем проекте;1;sale;
7;Договориться о размещении ссылки на нас на ресурсах заказчика (футер, статья на сайте);1;quality;
8;Предложить и реализовать задачу в рамках спринтов ПМ;1;managment;
9;Договориться с заказчиком о повышении ставок;1;sale;
10;Отправить все ежемесячные отчёты заказчикам до 8-го числа следующего месяца (включая экономики, брак, сводную);1;quality;
11;Получить все оплаты по проектам в рамках текущего месяца (ничего не перенеслось на следующий месяц);1;sale;
12;Отправить недельный отчёт всем заказчикам не позже 18:00 пятницы;0.25;quality;